,Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
2077,2019-1-ES01-KA103-060093,2019-2020,2019-09,2020-06,264,Student mobility for studies between Programme Countries,Language acquisition,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,ES,Valladolid,UNIVERSIDAD DE VALLADOLID,E  VALLADO01,IE,MAYNOOTH,NATIONAL UNIVERSITY OF IRELAND MAYNOOTH,-,1
2078,2015-1-IT02-KA103-013461,2015-2016,2015-09,2016-06,287,Student mobility for studies between Programme Countries,"Languages, not further defined",IT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21.0,IT,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,I  BOLOGNA01,PT,LISBOA,UNIVERSIDADE DE LISBOA,P  LISBOA109,1
2079,2017-1-DE01-KA103-003108,2019-2020,2019-02,2019-02,5,Staff mobility for teaching between Programme Countries,Literature and linguistics,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,21.0,DE,STUTTGART,UNIVERSITAET STUTTGART,D  STUTTGA01,FR,PESSAC CEDEX,INSTITUT D'ETUDES POLITIQUES DE BORDEAUX,F  BORDEAU37,1
2080,2014-3-IT03-KA105-004716,2015-2016,2015-06,2015-07,8,Youth Exchanges - Programme Countries,? Unknown ?,RO,??? - ? Unknown ?,Female,Learner,No,No,No,25.0,RO,Bucharest,ASOCIATIA TINERI PARTENERI PENTRU DEZVOLTAREA SOCIETATII CIVILE,-,IT,Arcavacata di Rende (Cosenza),Associazione Culturale Entropia,-,1
2081,2015-1-ES01-KA103-013416,2015-2016,2015-10,2016-07,296,Student mobility for studies between Programme Countries,"Business and administration, not elsewhere classified",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21.0,ES,ALCALA DE HENARES/MADRID,UNIVERSIDAD DE ALCALA,E  ALCAL-H01,DE,PADERBORN,UNIVERSITAET PADERBORN,D  PADERBO01,1
2082,2015-1-NO01-KA103-013064,2015-2016,2015-08,2015-12,139,Student mobility for studies between Programme Countries,Law,NO,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,23.0,NO,BERGEN,UNIVERSITETET I BERGEN,N  BERGEN01,DE,MANNHEIM,UNIVERSITAET MANNHEIM,D  MANNHEI01,1
2083,2016-1-BE02-KA103-017194,2017-2018,2017-01,2017-01,5,Staff mobility for training between Programme Countries,? Unknown ?,BE,??? - ? Unknown ?,Female,Staff,No,No,No,23.0,BE,KORTRIJK,HOGESCHOOL WEST-VLAANDEREN HOWEST,B  KORTRIJ03,FI,JOENSUU,KARELIA AMMATTIKORKEAKOULU OY,SF JOENSUU09,2
2084,2018-1-IT01-KA102-006622,2019-2020,2019-02,2019-02,23,Mobility of VET learners (2 weeks up to 3 months),Business and administration,IT,ISCED-3 - Upper secondary education,Female,Learner,No,No,No,17.0,IT,ROMA,ISTITUTO DI ISTRUZIONE SUPERIORE FEDERICO CAFFE',-,PL,WROCLAW,SEMPER AVANTI,-,1
2085,2016-1-DE01-KA107-002806,2018-2019,2018-06,2018-06,6,Staff mobility for Training To/From Partner Countries,? Unknown ?,ET,??? - ? Unknown ?,Male,Staff,No,No,No,17.0,ET,Addis Ababa,ADDIS ABABA UNIVERSITY,-,DE,Leipzig,UNIVERSITAET LEIPZIG,D  LEIPZIG01,1
2086,2014-3-LU02-KA105-000099,2015-2016,2015-05,2015-05,8,Youth Exchanges - Programme Countries,? Unknown ?,PL,??? - ? Unknown ?,Male,Learner,No,No,No,19.0,PL,Warsaw,Limitless,-,LU,Sanem,CONNEXIONS,-,2
2087,2017-1-IT02-KA103-035676,2017-2018,2017-09,2018-09,354,Student mobility for studies between Programme Countries,"Education, not further defined",IT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23.0,IT,FIRENZE,UNIVERSITA DEGLI STUDI DI FIRENZE,I  FIRENZE01,ES,SEVILLA,UNIVERSIDAD DE SEVILLA,E  SEVILLA01,1
2088,2015-1-LT02-KA105-003976,2015-2016,2015-09,2015-09,8,Mobility of youth workers - Programme Countries,? Unknown ?,HR,??? - ? Unknown ?,Female,Staff,No,Yes,No,37.0,HR,Merag,Hrvatska skola Outward Bound (HSOB),-,LT,Palanga,"VsI ""Uztaisas""",-,1
2089,2014-1-FR02-KA105-000179,2014-2015,2014-06,2014-06,2,Youth Exchanges - Programme Countries,? Unknown ?,FR,??? - ? Unknown ?,Female,Learner,No,No,Yes,35.0,FR,ATHIS-MONS,commune d'athis-mons,-,FR,ATHIS-MONS,commune d'athis-mons,-,1
2090,2018-3-RO01-KA105-061290,2019-2020,2019-08,2019-08,8,Mobility of youth workers - Programme Countries,? Unknown ?,PL,??? - ? Unknown ?,Female,Staff,No,No,No,27.0,PL,SANOK,"Europejskie Forum Mlodziezy ""FRATERNITAS""",-,RO,Targoviste,Asociatia Be You,-,1
2091,2019-1-DE04-KA105-017812,2019-2020,2019-09,2019-09,10,Youth Exchanges - Programme Countries,? Unknown ?,CZ,??? - ? Unknown ?,Female,Learner,No,No,No,30.0,CZ,Brno,Brno Connected z.s.,-,DE,Kagel,Ideen hoch drei e.V.,-,1
2092,2014-1-HU01-KA104-000428,2015-2016,2015-05,2015-05,7,Staff training abroad,"Education, not elsewhere classified",HU,??? - ? Unknown ?,Female,Staff,No,No,No,43.0,HU,Miskolc,Szelíd Szavakkal Alapítvány,-,UK,EXETER DEVON,EMBERCOMBE,-,1
2093,2015-1-FR01-KA103-014369,2015-2016,2015-06,2015-10,121,Student mobility for traineeships between Programme Countries,Audio-visual techniques and media production,FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,21.0,FR,VALENCIENNES,SUPINFOGAME - RUBIKA,F  VALENCI18,NL,AH DEN HAAG,paladin studios,-,1
2094,2018-1-NL01-KA103-038754,2019-2020,2019-03,2019-07,121,Student mobility for traineeships between Programme Countries,Food processing,ID,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,24.0,NL,WAGENINGEN,WAGENINGEN UNIVERSITY,NL WAGENIN01,BE,Brussels,Embassy of The Republic of Indonesia,-,1
2095,2014-1-CZ01-KA103-000103,2015-2016,2015-01,2015-06,154,Student mobility for studies between Programme Countries,Education science,CZ,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,CZ,BRNO STRED,Masarykova univerzita,CZ BRNO05,FI,JYVASKYLA,JYVASKYLAN AMMATTIKORKEAKOULU,SF JYVASKY11,1
2096,2017-1-UK01-KA101-036122,2018-2019,2018-04,2018-04,8,Structured Courses/Training Events,Education,UK,??? - ? Unknown ?,Female,Staff,No,No,No,30.0,UK,London,Chesterton Primary School,-,ES,Santander,Claro GB,-,1
2097,2018-1-ES01-KA103-049814,2018-2019,2018-10,2019-07,271,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,22.0,ES,MADRID,UNIVERSIDAD PONTIFICIA COMILLAS,E  MADRID02,AT,WIEN,TECHNISCHE UNIVERSITAET WIEN,A  WIEN02,1
2098,2016-1-ES01-KA103-024036,2016-2017,2016-08,2017-01,153,Student mobility for studies between Programme Countries,Teacher training with subject specialization,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,ES,Zaragoza,UNIVERSIDAD DE ZARAGOZA,E  ZARAGOZ01,SE,Stockholm,STOCKHOLMS UNIVERSITET,S  STOCKHO01,1
2099,2015-1-CY01-KA103-011770,2015-2016,2015-08,2016-02,180,Student mobility for traineeships between Programme Countries,"Journalism and information, not further defined",CY,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,26.0,CY,LEFKOSIA,MESOKELEAS LTD (FREDERICK UNIVERSITY),CY NICOSIA23,ES,Seville,"Eurasmus Online Bookings, S.L. - C.I.F. B90124728",-,1
2100,2017-1-CZ01-KA103-034519,2018-2019,2018-03,2018-08,180,Student mobility for traineeships between Programme Countries,History and archaeology,CZ,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,30.0,CZ,Prague,UNIVERZITA KARLOVA,CZ PRAHA07,HR,ZAGREB,Arheološki muzej - Archaeological Museum in Zagreb,-,1
2101,2015-1-FR01-KA103-014103,2016-2017,2016-04,2016-04,5,Staff mobility for teaching between Programme Countries,"Languages, not further defined",FR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,30.0,FR,rennes,OGEC Jean PaulII de la Salle,F  RENNES23,ES,Valencia,Centro Integrado Público de Formación Profesional Misericordia,E  VALENCI19,1
2102,2018-1-PT01-KA107-046788,2019-2020,2019-06,2019-06,7,Staff mobility for Training To/From Partner Countries,? Unknown ?,PT,??? - ? Unknown ?,Female,Staff,No,No,No,30.0,PT,TOMAR,INSTITUTO POLITECNICO DE TOMAR,P  TOMAR01,MA,MARRAKECH,UNIVERSITE CADI AYYAD,-,1
2103,2017-1-FR01-KA103-035343,2017-2018,2017-09,2017-12,97,Student mobility for studies between Programme Countries,"Languages, not further defined",FR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20.0,FR,BESANCON,UNIVERSITE DE FRANCHE-COMTE,F  BESANCO01,ES,BARCELONA,UNIVERSIDAD POMPEU FABRA,E  BARCELO15,1
2104,2014-1-HR01-KA102-000301,2015-2016,2015-10,2015-10,12,VET learners traineeships in companies abroad,Building and civil engineering,HR,??? - ? Unknown ?,Female,Learner,No,No,No,18.0,HR,Bedekov�ina,Srednja skola Bedekovcina,-,PT,Montijo,EPD - European Projects Development Unipessoal Lda,-,1
2105,2019-1-DE01-KA103-004560,2019-2020,2019-09,2020-01,118,Student mobility for studies between Programme Countries,Literature and linguistics,DE,ISCED-9 - Not elsewhere classified,Male,Learner,No,No,No,23.0,DE,Leipzig,UNIVERSITAET LEIPZIG,D  LEIPZIG01,UK,Wolverhampton,UNIVERSITY OF WOLVERHAMPTON,UK WOLVERH01,1
2106,2018-1-HU01-KA102-047262,2018-2019,2018-06,2018-07,28,Mobility of VET learners (2 weeks up to 3 months),Wholesale and retail sales,HU,ISCED-2 - Lower secondary education,Female,Learner,No,No,No,19.0,HU,Győr,Győri SZC Pálffy Miklós Kereskedelmi és Logisztikai Technikum,-,UK,Portsmouth,Training Vision Ltd,-,1
2107,2017-1-AT01-KA103-034647,2017-2018,2017-10,2017-12,75,Student mobility for traineeships between Programme Countries,"Services, inter-disciplinary programmes",AT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,31.0,AT,GRAZ,UNIVERSITAET GRAZ,A  GRAZ01,SI,Ljubljana,WKO AußenwirtschsaftsCenter Laibach,-,1
2108,2015-1-ES01-KA103-013826,2016-2017,2016-04,2016-05,5,Staff mobility for teaching between Programme Countries,Medicine,ES,ISCED-8 - Third cycle / Doctoral or equivalent level (EQF-8),Male,Staff,No,No,No,31.0,ES,Valencia,UNIVERSITAT DE VALENCIA,E  VALENCI01,BE,BRUXELLES,UNIVERSITE LIBRE DE BRUXELLES,B  BRUXEL04,1
2109,2016-1-DE01-KA103-002603,2017-2018,2017-12,2017-12,3,Staff mobility for teaching between Programme Countries,"Forestry, not elsewhere classified",FI,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Staff,No,No,No,31.0,DE,EBERSWALDE,HOCHSCHULE FUR NACHHALTIGE ENTWICKLUNG EBERSWALDE,D  EBERSWA01,FI,MIKKELI,MIKKELIN AMMATTIKORKEAKOULU OY,SF MIKKELI06,1
2110,2015-1-EE01-KA103-013325,2015-2016,2015-09,2015-12,111,Student mobility for studies between Programme Countries,"Information and Communication Technologies (ICTs), not further defined",EE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,26.0,EE,TALLINN,TALLINN UNIVERSITY,EE TALLINN05,FI,JYVASKYLA,JYVASKYLAN YLIOPISTO,SF JYVASKY01,1
2111,2015-1-FR01-KA103-013526,2015-2016,2015-09,2016-03,196,Student mobility for studies between Programme Countries,"Business and administration, not further defined",FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,20.0,FR,LYON,ASSOCIATION DES FONDATEURS ET PROTECTEURS DE L'INSTITUT CATHOLIQUE DE LYON,F  LYON10,DE,BERLIN,HOCHSCHULE FUR WIRTSCHAFT UND RECHT BERLIN,D  BERLIN06,1
2112,2014-1-ES02-KA105-000092,2014-2015,2014-10,2015-08,310,European Voluntary Service - Programme Countries,? Unknown ?,DK,??? - ? Unknown ?,Female,Learner,No,No,No,18.0,DK,Frederiksberg,AFS Interkultur,-,ES,Zaragoza,Asociación de Scouts de Aragón,-,1
2113,2017-1-ES01-KA103-035448,2017-2018,2017-09,2018-02,153,Student mobility for studies between Programme Countries,"Business and administration, not further defined",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21.0,ES,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,E  MADRID04,IT,TORINO,UNIVERSITA DEGLI STUDI DI TORINO,I  TORINO01,1
