,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
2110,2015-1-EE01-KA103-013325,2015-2016,111,Student mobility for studies between Programme Countries,"Information and Communication Technologies (ICTs), not further defined",Female,Learner,No,No,No,26,TALLINN,TALLINN UNIVERSITY,JYVASKYLA,JYVASKYLAN YLIOPISTO,1,Studies,Estonia,Master,Finland,Estonia
2111,2015-1-FR01-KA103-013526,2015-2016,196,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,20,LYON,ASSOCIATION DES FONDATEURS ET PROTECTEURS DE L'INSTITUT CATHOLIQUE DE LYON,BERLIN,HOCHSCHULE FUR WIRTSCHAFT UND RECHT BERLIN,1,Studies,France,Master,Germany,France
2112,2014-1-ES02-KA105-000092,2014-2015,310,European Voluntary Service - Programme Countries,Other,Female,Learner,No,No,No,18,Frederiksberg,AFS Interkultur,Zaragoza,Asociación de Scouts de Aragón,1,Voluntary,Denmark,Unknown,Spain,Denmark
2113,2017-1-ES01-KA103-035448,2017-2018,153,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,21,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,TORINO,UNIVERSITA DEGLI STUDI DI TORINO,1,Studies,Spain,Bachelor,Italy,Spain
2114,2015-1-DK01-KA102-004175,2017-2018,30,VET traineeships in companies abroad,Child care and youth services,Female,Learner,No,No,No,20,Odense C,Social- og Sundhedsskolen Fyn,Torremolinos,Venga Travel Danmark ApS,1,Traineeships,Denmark,Unknown,Spain,Denmark
2115,2015-3-IE01-KA105-016687,2016-2017,13,Youth Exchanges - Programme Countries,Other,Male,Learner,No,Yes,No,18,Belfast,Merseyside Adventure Sailing Trust,Dublin,Sail Training Ireland for Youth Development,1,Youth Exchange,United Kingdom,Unknown,Ireland,United Kingdom
2116,2019-1-ES02-KA105-012856,2019-2020,7,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,26,Athens,ENTREPRENEURSHIP AND SOCIAL ECONOMY GROUP,Ourense,Sustinea,1,Youth Exchange,Greece,Unknown,Spain,Greece
2117,2016-1-HR01-KA103-021709,2017-2018,134,Student mobility for studies between Programme Countries,Forestry,Male,Learner,No,No,No,25,Zagreb,SVEUCILISTE U ZAGREBU,Praha,CESKA ZEMEDELSKA UNIVERZITA V PRAZE,1,Studies,Croatia,Master,Czechia,Croatia
2118,2019-1-FR01-KA103-059917,2019-2020,143,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,19,BELFORT,ASSOCIATION POUR LA GESTION DE L'ECOLE SUPERIEURE DES TECHNOLOGIES ET DES AFFAIRES,Bruxelles,APROPLAN,1,Traineeships,France,Master,Belgium,France
2119,2016-1-FR01-KA103-022479,2016-2017,270,Student mobility for studies between Programme Countries,Architecture and town planning,Male,Learner,No,No,No,23,Talence,Ecole nationale supérieure d'architecture et de paysage de Bordeaux,GRANADA,UNIVERSIDAD DE GRANADA,1,Studies,France,Master,Spain,France
