,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
0,2017-1-PT01-KA103-035561,2018-2019,113,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,21,FARO,UNIVERSIDADE DO ALGARVE,POZNAN,UNIWERSYTET EKONOMICZNY W POZNANIU,1,Studies,Portugal,Bachelor,Poland,Portugal
1,2018-1-AT01-KA103-038802,2018-2019,62,Student mobility for traineeships between Programme Countries,Food processing,Female,Learner,No,No,No,20,WIEN,UNIVERSITAET FUER BODENKULTUR WIEN,Galway,NATIONAL UNIVERSITY OF IRELAND GALWAY,1,Traineeships,Austria,Bachelor,Ireland,Austria
2,2014-2-UK01-KA105-001458,2015-2016,12,Youth Exchanges - Partner Countries,Other,Male,Learner,No,Yes,No,21,Mogilev,Young leaders of Mogilev,SIRVAN,Association of Sirvan Youth,4,Youth Exchange,Belarus,Unknown,Azerbaijan,Belarus
3,2017-1-FR01-KA103-035756,2017-2018,257,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",Female,Learner,No,No,No,21,GIF SUR YVETTE,CENTRALESUPELEC,CAMBRIDGE,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",1,Studies,France,Master,United Kingdom,France
4,2014-1-IT02-KA103-000159,2014-2015,320,Student mobility for studies between Programme Countries,Pharmacy,Female,Learner,No,No,No,29,FISCIANO SA,UNIVERSITA DEGLI STUDI DI SALERNO,CAEN CEDEX 05,UNIVERSITE DE CAEN BASSE-NORMANDIE,1,Studies,Italy,Master,France,Italy
5,2016-3-IT03-KA105-009617,2017-2018,9,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,Yes,39,Borgomanero,Vedogiovane Società Cooperativa Sociale,Borgomanero,Vedogiovane Società Cooperativa Sociale,1,Youth Exchange,Italy,Unknown,Italy,Italy
6,2017-2-DE04-KA105-015398,2017-2018,6,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,Yes,19,MARMOUTIER,ASSOCIATION COMMUNES SANS FRONTIERES,Sasbachwalden,Gemeinde Sasbachwalden,1,Youth Exchange,France,Unknown,Germany,France
7,2014-1-LT01-KA103-000003,2014-2015,198,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,Female,Learner,No,No,No,23,VILNIUS,LIETUVOS MUZIKOS IR TEATRO AKADEMIJA,LEIPZIG,UNIVERSITAET LEIPZIG,1,Studies,Lithuania,Bachelor,Germany,Lithuania
8,2015-1-BG01-KA103-013920,2016-2017,5,Staff mobility for teaching between Programme Countries,"Business and administration, not further defined",Female,Staff,No,No,No,23,SOFIA,NEW BULGARIAN UNIVERSITY,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,1,Teach,Bulgaria,Bachelor,Italy,Bulgaria
9,2018-1-ES01-KA103-048125,2018-2019,290,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,Male,Learner,No,No,No,31,VALENCIA,UNIVERSITAT POLITECNICA DE VALENCIA,Bremen,UNIVERSITAET BREMEN,1,Studies,Spain,Master,Germany,Spain
10,2019-1-LV01-KA101-060155,2019-2020,5,Structured Courses/Training Events,Psychology,Female,Staff,No,No,No,61,"Mārupe, Mārupes nov.","Marupes novada pirmsskolas izglitibas iestade ""Zeltriti""",Prāga,SHIPCON LIMASSOL LIMITED,1,Training,Latvia,Unknown,Czechia,Latvia
11,2018-1-IT02-KA103-047026,2018-2019,121,Student mobility for studies between Programme Countries,Medicine,Male,Learner,No,No,No,22,MILANO,UNIVERSITA VITA-SALUTE SAN RAFFAELE,RIGA,RIGAS STRADINA UNIVERSITATE,1,Studies,Italy,Master,Latvia,Italy
12,2014-1-PL01-KA103-000079,2015-2016,4,Staff mobility for teaching between Programme Countries,Architecture and town planning,Male,Staff,No,No,No,22,BIALYSTOK,POLITECHNIKA BIALOSTOCKA,VOLOS,PANEPISTIMIO THESSALIAS,1,Teach,Poland,Master,Greece,Poland
13,2015-1-DE01-KA103-001850,2016-2017,3,Staff mobility for teaching between Programme Countries,Architecture and town planning,Male,Staff,No,No,No,22,Amsterdam,Studio-Al,HAMBURG,HAFENCITY UNIVERSITAT HAMBURG,1,Teach,Netherlands,Not Classified,Germany,Netherlands
14,2017-1-DE02-KA116-003885,2018-2019,12,VET traineeships in companies abroad,Dental studies,Female,Learner,No,No,No,18,Hamm,Friedrich-List-Berufskolleg,Budapest,"Evergreen Dental Kft.,",1,Traineeships,Germany,Post-Secondary Education,Hungary,Germany
15,2019-1-FR01-KA103-060155,2019-2020,309,Student mobility for studies between Programme Countries,Literature and linguistics,Female,Learner,No,No,No,20,MULHOUSE,UNIVERSITE DE HAUTE ALSACE UHA,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,1,Studies,France,Bachelor,Italy,France
16,2018-3-AT02-KA105-002215,2019-2020,8,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,22,Alicante,Ticket2Europe,Bakuriani,Masterpeace Eastern Partnership and Central Asia Regional Organization,1,Youth Exchange,Spain,Unknown,Georgia,Spain
17,2017-3-PL01-KA135-047098,2018-2019,273,European Voluntary Service - Programme Countries,Other,Female,Learner,No,No,No,21,Lyon,CONCORDIA,Kraków,Samorzadowe Przedszkole nr 121 z Oddzialami Integracyjnymi,1,Voluntary,France,Unknown,Poland,France
18,2017-1-UK01-KA102-035942,2018-2019,14,VET traineeships in companies abroad,Engineering and engineering trades,Male,Learner,No,No,No,32,Grantham,Grantham College,Arnsberg,Handwerkskammer Südwestfalen,1,Traineeships,United Kingdom,Post-Secondary Education,Germany,United Kingdom
19,2016-1-UK01-KA102-023573,2017-2018,6,Training assignments abroad,"Education, not further defined",Female,Staff,No,No,No,57,Mansfield,"West Nottinghamshire College of Further Education, Mansfield",Jyväskylä,Jyväskylän koulutuskuntayhtymä,1,Training,United Kingdom,Unknown,Finland,United Kingdom
20,2017-1-HU01-KA103-035116,2018-2019,5,Staff mobility for training between Programme Countries,Other,Female,Staff,No,No,No,57,Pécs,PECSI TUDOMANYEGYETEM - UNIVERSITY OF PECS,Brno,Masarykova univerzita,1,Training,Hungary,Unknown,Czechia,Hungary
21,2018-2-UK01-KA105-048334,2018-2019,2,Advance Planning Visit – Youth Exchange,Other,Male,Learner,No,Yes,No,19,Mogilev,Young leaders of Mogilev,Mogilev,Young leaders of Mogilev,1,Youth Exchange,Belarus,Unknown,Belarus,Belarus
22,2018-2-UK01-KA105-048377,2019-2020,6,Youth Exchanges - Programme Countries,Other,Female,Learner,No,Yes,No,15,CLUJ NAPOCA,ASOCIATIA BABILON TRAVEL,OXFORD,IKKAIDO LTD,1,Youth Exchange,Romania,Unknown,United Kingdom,Romania
23,2016-1-EL01-KA103-022715,2017-2018,139,Student mobility for studies between Programme Countries,"Languages, not further defined",Female,Learner,No,No,No,22,ATHENS,ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON,MADRID,UNIVERSIDAD COMPLUTENSE DE MADRID,1,Studies,Greece,Bachelor,Spain,Greece
24,2014-1-HU01-KA103-002168,2015-2016,5,Staff mobility for teaching between Programme Countries,Law,Male,Staff,No,No,No,22,Gödöllő,SZENT ISTVAN UNIVERSITY,Nitra,SLOVENSKA POL'NOHOSPODARSKA UNIVERZITA V NITRE,1,Teach,Hungary,Bachelor,Slovakia,Hungary
25,2015-1-IT02-KA103-013267,2015-2016,286,Student mobility for studies between Programme Countries,Biochemistry,Female,Learner,No,No,No,22,SASSARI,UNIVERSITA DEGLI STUDI DI SASSARI,Valencia,FUNDACION UNIVERSIDAD CATOLICA DE VALENCIA SAN VICENTE MARTIR,1,Studies,Italy,Bachelor,Spain,Italy
26,2014-3-CY02-KA105-000384,2015-2016,6,Mobility of youth workers - Programme Countries,Other,Female,Staff,No,No,No,35,Madrid,Asociación Building Bridges,Nicosia,C.I.P Citizens In Power (PO.SI Polites se Ischy),1,Workers,Spain,Unknown,Cyprus,Spain
27,2016-2-EL02-KA105-002578,2016-2017,11,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,Yes,27,Keratsini,Europe Express,Keratsini,Europe Express,1,Youth Exchange,Greece,Unknown,Greece,Greece
28,2015-1-FI01-KA102-008823,2016-2017,5,Training assignments abroad,"Languages, not further defined",Female,Staff,No,No,No,42,Raisio,Raision seudun koulutuskuntayhtymä,Papenburg,Berufsbildende Schulen Papenburg - gewerbliche und kaufmännische Fachrichtungen -,1,Training,Finland,Unknown,Germany,Finland
29,2017-1-FR01-KA103-035359,2018-2019,133,Student mobility for studies between Programme Countries,Management and administration,Female,Learner,No,No,No,20,ANGERS,Groupe ESSCA,LEEDS,UNIVERSITY OF LEEDS,3,Studies,France,Bachelor,United Kingdom,France
30,2016-1-FR01-KA103-022243,2017-2018,95,Student mobility for traineeships between Programme Countries,Biology,Female,Learner,No,No,No,21,Paris,UNIVERSITE PARIS DIDEROT - PARIS 7,Trieste,UNIVERSITA DEGLI STUDI DI TRIESTE,1,Traineeships,France,Bachelor,Italy,France
31,2015-1-PL01-KA102-015006,2016-2017,12,Staff training abroad,Transport services,Female,Staff,No,No,No,45,Cieszyn,Zespol Szkol w Cieszynie Zakladu Doskonalenia Zawodowego w Katowicach,Crdoba,EUROPROYECTOS LEONARDO DA VINCI S.L.,1,Training,Poland,Unknown,Spain,Poland
32,2017-1-AT01-KA116-034695,2017-2018,98,VET traineeships in companies abroad,Education,Female,Learner,No,No,No,17,St. Veit/Glan,HLW St. Veit/Glan,Kenmare,Dromquinna Manor,2,Traineeships,Austria,Upper Secondary Education,Ireland,Austria
33,2017-2-SI02-KA105-014308,2018-2019,10,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,22,Murska Sobota,"Connect, drustvo za promocijo aktivnega drzavljanstva, socialno podjetje",Murska Sobota,"Connect, drustvo za promocijo aktivnega drzavljanstva, socialno podjetje",1,Youth Exchange,Slovenia,Unknown,Slovenia,Slovenia
34,2018-1-EE01-KA103-046835,2019-2020,4,Staff mobility for teaching between Programme Countries,"Architecture and construction, not further defined",Male,Staff,No,No,No,22,TALLINN,TALLINNA TEHNIKAULIKOOL,Berlin,Hochschule für Technik und Wirtschaft Berlin,1,Teach,Estonia,Master,Germany,Estonia
35,2014-1-DE02-KA102-000376,2016-2017,14,VET learners traineeships in vocational institutes abroad,Training for pre-school teachers,Male,Learner,No,No,No,50,Berlin,Euro-Schulen gemeinnützige Gesellschaft für berufliche Bildung und Beschäftigung mbH,Amsterdam,Stichting Regionaal Opleidingencentrum van Amsterdam,1,Traineeships,Germany,Unknown,Netherlands,Germany
36,2019-1-RO01-KA105-061651,2019-2020,9,Youth Exchanges - Programme Countries,Other,Male,Learner,No,Yes,No,17,Velké Pavlovice,FOUR LINKS Z.S.,Balan,Asociatia Ecosportiva Sufletul Hasmasului,1,Youth Exchange,Czechia,Unknown,Romania,Czechia
37,2016-1-BE02-KA103-017229,2017-2018,103,Student mobility for studies between Programme Countries,Training for pre-school teachers,Female,Learner,No,No,No,21,GENT,ARTEVELDEHOGESCHOOL,KOPER,UNIVERZA NA PRIMORSKEM UNIVERSITA DEL LITORALE,1,Studies,Belgium,Bachelor,Slovenia,Belgium
38,2014-1-DE01-KA103-000080,2014-2015,127,Student mobility for studies between Programme Countries,Engineering and engineering trades,Male,Learner,No,No,No,24,Duisburg and Essen,UNIVERSITAET DUISBURG-ESSEN,Tampere,TTY-SAATIO,1,Studies,Germany,Master,Finland,Germany
39,2019-1-IT02-KA103-061759,2019-2020,272,Student mobility for studies between Programme Countries,Law,Male,Learner,No,No,No,20,MILANO,UNIVERSITA DEGLI STUDI DI MILANO,PILSEN,ZAPADOCESKA UNIVERZITA V PLZNI,1,Studies,Italy,Bachelor,Czechia,Italy
40,2014-2-UK01-KA102-012263,2015-2016,7,Training assignments abroad,Business and administration,Male,Staff,No,No,No,28,Torquay,TELLUS LIMITED,Caserta,012Factory - Laboratorio di Impresa,1,Training,United Kingdom,Unknown,Italy,United Kingdom
41,2018-1-UK01-KA103-046761,2019-2020,3,Staff mobility for teaching between Programme Countries,Music and performing arts,Male,Staff,No,No,No,28,MANCHESTER,ROYAL NORTHERN COLLEGE OF MUSIC,RIGA,Jazepa Vitola Latvijas Muzikas akademija,1,Teach,United Kingdom,Bachelor,Latvia,United Kingdom
42,2017-2-UK01-KA105-036881,2018-2019,7,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,No,18,Teo,Asociación Xuvenil Vrenza,LONDON,NEW INTERNATIONAL COMPANY OF LIVE ARTS,1,Youth Exchange,Spain,Unknown,United Kingdom,Spain
43,2014-1-FR01-KA103-001281,2015-2016,68,Student mobility for traineeships between Programme Countries,Biological and related sciences,Male,Learner,No,No,No,19,BREST CEDEX 3,UNIVERSITE DE BRETAGNE OCCIDENTALE,Londres,"Autocar - Electrical Equipment Co, Ltd",1,Traineeships,Morocco,Tertiary Education,United Kingdom,France
44,2015-1-FR01-KA103-013476,2015-2016,86,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,24,NANCY,ECOLED'ENSEIGNEMENT SUPERIEUR PRIVE ICN,LONDON,LA TUA PASTA,1,Traineeships,France,Master,United Kingdom,France
45,2014-1-CZ01-KA102-000805,2015-2016,14,VET learners traineeships in vocational institutes abroad,Education,Female,Learner,No,No,No,16,Žamberk,"Stredni skola obchodu, remesel a sluzeb Zamberk",Dzierżoniów,Zespol Szkol Nr 2 im. prof. Tadeusza Kotarbinskiego w Dzierzoniowie,3,Traineeships,Czechia,Unknown,Poland,Czechia
46,2016-1-CZ01-KA105-023120,2017-2018,6,Mobility of youth workers - Partner Countries,Other,Male,Staff,No,No,No,25,Kiev,"Non-Government Organization ""Unit""",Škrdlovice,GENESIS ZS,1,Workers,Ukraine,Unknown,Czechia,Ukraine
47,2014-1-RO01-KA103-000132,2014-2015,144,Student mobility for studies between Programme Countries,Philosophy and ethics,Male,Learner,No,No,No,19,CRAIOVA,UNIVERSITATEA DIN CRAIOVA,TORUN,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,1,Studies,Romania,Bachelor,Poland,Romania
48,2017-1-ES01-KA103-035822,2017-2018,274,Student mobility for traineeships between Programme Countries,Chemistry,Female,Learner,No,No,No,22,SEVILLA,UNIVERSIDAD PABLO DE OLAVIDE,Newcastle,UNIVERSITY OF NEWCASTLE UPON TYNE,1,Traineeships,Spain,Bachelor,United Kingdom,Spain
49,2017-1-MK01-KA101-035190,2017-2018,5,Structured Courses/Training Events,Education,Female,Staff,No,No,No,42,"Vratnica, Jegunovce","Opstinsko Osnovno Uciliste SIMCE NASTOVSKI s.Vratnica, Jegunovce",SOFIA,MEZHDUNARODEN CENTAR ZA RAZVITIE NAOBRAZOVANIETO I OBUCHENIETO,1,Training,North Macedonia,Unknown,Bulgaria,North Macedonia
50,2019-1-LT01-KA103-060135,2019-2020,162,Student mobility for studies between Programme Countries,Political sciences and civics,Female,Learner,No,No,No,19,KAUNAS,VYTAUTO DIDZIOJO UNIVERSITETAS,BRNO STRED,Masarykova univerzita,1,Studies,Ukraine,Bachelor,Czechia,Lithuania
51,2018-1-ES01-KA103-049416,2018-2019,269,Student mobility for studies between Programme Countries,"Languages, not further defined",Male,Learner,No,No,No,20,SANTIAGO DE COMPOSTELA,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,BRNO,Masarykova univerzita,1,Studies,Spain,Bachelor,Czechia,Spain
52,2017-2-FR02-KA105-013232,2017-2018,9,Mobility of youth workers - Programme Countries,Other,Male,Staff,No,Yes,No,31,COGNAC,Association HEREMAKONO,COGNAC,Association HEREMAKONO,1,Workers,France,Unknown,France,France
53,2017-3-SK02-KA105-001586,2018-2019,14,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,No,21,DINAN,ASSOCIATION INTERCULTURA,Prešov,Cardio Youngs,1,Youth Exchange,France,Unknown,Slovakia,France
54,2017-1-DE03-KA101-035321,2019-2020,5,Structured Courses/Training Events,Education science,Female,Staff,No,No,No,32,Berlin,Jane-Addams-Schule,Leiria,Ludotempo - Associação de Promoção do Brincar,1,Training,Germany,Unknown,Portugal,Germany
55,2018-1-LT01-KA116-046699,2018-2019,28,Mobility of VET learners (2 weeks up to 3 months),Education,Female,Learner,No,No,No,47,Kedainiai,Kedainiu profesinio rengimo centras,fethiye/ölüdeniz,belcekiz beach club hotel,1,Learner,Lithuania,Master,Turkey,Lithuania
56,2014-2-LT02-KA105-000319,2014-2015,2,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,Yes,23,Rome,Cooperativa Sociale Immaginaria A R.L.Onlus,Daugirdiškės,Rudiskiu gimnazijos seniunu sueiga,1,Youth Exchange,Italy,Unknown,Lithuania,Italy
57,2014-1-IT02-KA103-002741,2014-2015,154,Student mobility for studies between Programme Countries,"Languages, not elsewhere classified",Male,Learner,No,No,No,24,MODENA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,1,Studies,Italy,Master,Spain,Italy
58,2017-1-FI01-KA103-034350,2018-2019,91,Student mobility for traineeships between Programme Countries,Nursing and midwifery,Female,Learner,No,No,No,28,TAMPERE,TAMPEREEN AMMATTIKORKEAKOULU OY,SALFORD,THE UNIVERSITY OF SALFORD,1,Traineeships,Finland,Bachelor,United Kingdom,Finland
59,2015-1-NL01-KA103-008687,2016-2017,150,Student mobility for studies between Programme Countries,"Health, not further defined",Female,Learner,No,No,No,23,Arnhem,STICHTING HOGESCHOOL VAN ARNHEM ENNIJMEGEN HAN,Risskov,VIA UNIVERSITY COLLEGE,1,Studies,Netherlands,Bachelor,Denmark,Netherlands
60,2015-1-TR01-KA105-014730,2015-2016,7,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,22,Aksaray,Young Volunteers of Aksaray,Aksaray,Young Volunteers of Aksaray,1,Youth Exchange,Turkey,Unknown,Turkey,Turkey
61,2015-1-DE01-KA103-001789,2015-2016,151,Student mobility for studies between Programme Countries,Sociology and cultural studies,Male,Learner,No,No,No,26,Leipzig,UNIVERSITAET LEIPZIG,Tallinn,TALLINN UNIVERSITY,1,Studies,Germany,Master,Estonia,Germany
62,2014-1-FR01-KA103-000896,2015-2016,180,Student mobility for traineeships between Programme Countries,Pharmacy,Female,Learner,No,No,No,23,Strasbourg,UNIVERSITE DE STRASBOURG,Rixensart,GlaxoSmithKline,1,Traineeships,France,Master,Belgium,France
63,2019-1-IT02-KA103-061403,2019-2020,291,Student mobility for studies between Programme Countries,Sociology and cultural studies,Male,Learner,No,No,No,29,Roma,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,CADIZ,UNIVERSIDAD DE CADIZ,1,Studies,Italy,Bachelor,Spain,Italy
64,2016-1-FR01-KA101-023617,2018-2019,5,Job Shadowing,Literature and linguistics,Female,Staff,No,No,No,53,ANCENIS,LPO JOUBERT MAILLARD,TAMPERE,Tampere High School of Technology,1,Job,France,Unknown,Finland,France
65,2016-1-DE01-KA103-002784,2016-2017,142,Student mobility for studies between Programme Countries,Economics,Male,Learner,No,No,No,23,BAYREUTH,UNIVERSITAET BAYREUTH,ISTANBUL,MARMARA UNIVERSITY,1,Studies,Germany,Bachelor,Turkey,Germany
66,2019-2-SK02-KA105-002205,2019-2020,8,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,Yes,20,Kyiv,"NGO ""Step. Forward""",Velke Levare,Protect work,1,Youth Exchange,Ukraine,Unknown,Slovakia,Ukraine
67,2014-1-DE01-KA103-000152,2015-2016,139,Student mobility for studies between Programme Countries,Literature and linguistics,Male,Learner,No,No,No,25,Hamburg,UNIVERSITAET HAMBURG,Manchester,THE UNIVERSITY OF MANCHESTER,1,Studies,Germany,Master,United Kingdom,Germany
68,2016-1-CZ01-KA103-023108,2017-2018,4,Staff mobility for teaching between Programme Countries,"Education, not further defined",Female,Staff,No,No,No,25,HRADEC KRALOVE,UNIVERZITA HRADEC KRALOVE,Zwolle,"INTERACTUM UNIVERSITY OF APPLIED SCIENCES, TEACHER TRAINING DEPARTMENT HOGESCHOOL KATHOLIEKE PABO ZWOLLE",1,Teach,Czechia,Master,Netherlands,Czechia
69,2018-1-SI01-KA103-046866,2019-2020,5,Staff mobility for teaching between Programme Countries,"Languages, not further defined",Female,Staff,No,No,No,25,MARIBOR,UNIVERZA V MARIBORU,OLOMOUC,UNIVERZITA PALACKEHO V OLOMOUCI,2,Teach,Slovenia,Master,Czechia,Slovenia
70,2015-1-PT01-KA101-012628,2016-2017,5,Structured Courses/Training Events,Education,Female,Staff,No,No,No,58,Coimbra,Agrupamento de Escolas Rainha Santa Isabel,PLOIESTI,Asociatia ERUDITUS,1,Training,Portugal,Unknown,Romania,Portugal
71,2016-1-CZ01-KA105-023654,2016-2017,8,Youth Exchanges - Partner Countries,Other,Female,Learner,No,No,No,20,Sobreda,Grupo de Jovens Novo Mundo,Jindřichův Hradec,ICM Jindrichuv Hradec z.s.,1,Youth Exchange,Portugal,Unknown,Czechia,Portugal
72,2014-2-HU02-KA105-000325,2015-2016,10,Mobility of youth workers - Partner Countries,Other,Male,Staff,No,No,No,27,Brno,Brno Connected,Budapest,EGYESEK IFJUSAGI EGYESULET,1,Workers,Czechia,Unknown,Hungary,Czechia
73,2018-1-DK01-KA101-046945,2018-2019,3,Structured Courses/Training Events,Education,Female,Staff,No,No,No,60,Vejle,Skovgården,Oslo,Challenging Learning Norway AS,1,Training,Denmark,Unknown,Norway,Denmark
74,2014-2-RO01-KA105-002659,2015-2016,4,Mobility of youth workers - Programme Countries,Other,Female,Staff,No,No,No,25,Sheffield,Youth Discovery Ventures Ltd,Iasi,ASOCIATIA SUPORTIS FOR BETTER,1,Workers,United Kingdom,Unknown,Romania,United Kingdom
75,2016-1-DE01-KA103-002533,2017-2018,138,Student mobility for studies between Programme Countries,Education science,Female,Learner,No,No,No,22,Augsburg,UNIVERSITAET AUGSBURG,Foggia (FG),UNIVERSITA DEGLI STUDI DI FOGGIA,1,Studies,Germany,Bachelor,Italy,Germany
76,2014-1-BE02-KA103-000015,2015-2016,2,Staff mobility for teaching between Programme Countries,"Information and Communication Technologies (ICTs), not further defined",Female,Staff,No,No,No,22,Hasselt,Hogeschool PXL,VALENCIA,UNIVERSITAT POLITECNICA DE VALENCIA,1,Teach,Belgium,Bachelor,Spain,Belgium
77,2017-2-UK01-KA105-037023,2017-2018,8,Mobility of youth workers - Programme Countries,Other,Female,Staff,No,No,No,27,MALAGA,GEMS EDUCACION EN ANDALUCIA - GEA,London,Ganimede Ltd,1,Workers,Spain,Unknown,United Kingdom,Spain
78,2014-2-RO01-KA105-002595,2014-2015,8,Youth Exchanges - Programme Countries,Other,Female,Learner,No,Yes,No,27,Tartu,Öökull NGO,Zarnesti,Asociatia Alpin Club Bacau,1,Youth Exchange,Estonia,Unknown,Romania,Estonia
79,2018-1-PL01-KA103-047910,2018-2019,299,Student mobility for studies between Programme Countries,"Humanities (except languages), not further defined",Female,Learner,No,No,No,23,SZCZECIN,UNIWERSYTET SZCZECINSKI,MILANO,UNIVERSITA CATTOLICA DEL SACRO CUORE,1,Studies,Poland,Master,Italy,Poland
80,2017-1-FR01-KA103-036463,2018-2019,135,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,21,LORIENT,UNIVERSITE DE BRETAGNE SUD,Valencia,Madico y Villarroel Sociedad Limitada,1,Traineeships,France,Bachelor,Spain,France
81,2017-1-RO01-KA103-035806,2018-2019,101,Student mobility for studies between Programme Countries,"Arts, not further defined",Female,Learner,No,No,No,19,Bucharest,Universitatea Nationala de Arte (U.N.A.),Leipzig,Hochschule fuer Grafik und Buchkunst Leipzig / Academy of Fine Arts,2,Studies,Romania,Bachelor,Germany,Romania
82,2018-1-ES01-KA103-047173,2018-2019,294,Student mobility for studies between Programme Countries,"Languages, not further defined",Female,Learner,No,No,No,20,GRANADA,UNIVERSIDAD DE GRANADA,ROMA,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,1,Studies,Spain,Bachelor,Italy,Spain
83,2017-1-PT01-KA102-035490,2018-2019,8,Training assignments abroad,"Health and Welfare, inter-disciplinary programmes",Male,Staff,No,No,No,28,PORTO,"Ensiprof - Ensino e Formação Profissional, Lda.",PSZCZYNA,JOANNA JOCHEMCZYK MTT-PeJoh,1,Training,Portugal,Unknown,Poland,Portugal
84,2015-1-DE01-KA103-001756,2015-2016,134,Student mobility for studies between Programme Countries,Law,Male,Learner,No,No,No,22,Bonn,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITAT BONN,Zagreb,SVEUCILISTE U ZAGREBU,1,Studies,Germany,Bachelor,Croatia,Germany
85,2017-1-DE02-KA116-003681,2018-2019,41,VET traineeships in companies abroad,Mechanics and metal trades,Male,Learner,No,No,No,21,Osnabrck,Berufsbildende Schulen des Landkreises Osnabrück Brinkstrasse,VIGO,I.E.S. POLITÉCNICO DE VIGO,1,Traineeships,Germany,Post-Secondary Education,Spain,Germany
86,2016-2-DE04-KA105-014395,2016-2017,365,European Voluntary Service - Partner Countries,Other,Female,Learner,No,No,No,26,Kharkiv,GROMADSKA ORGANISATSIA HARKIVSKA ASOTSIATSIA DLYA AKTIVNOY MOLODI STELLA,Magdeburg,"Internationaler Bund - IB Mitte gGmbH für Bildung und soziale Dienste, NL Sachsen-Anhalt, Region Sachsen-Anhalt Nord",1,Voluntary,Ukraine,Unknown,Germany,Ukraine
87,2014-1-PL01-KA103-000275,2014-2015,5,Staff mobility for teaching between Programme Countries,Management and administration,Female,Staff,No,No,No,26,KATOWICE,UNIWERSYTET EKONOMICZNY W KATOWICACH,Elche-Alicante,UNIVERSITY CEU CARDENAL HERRERA,1,Teach,Poland,Bachelor,Spain,Poland
88,2017-1-PL01-KA103-036127,2018-2019,91,Student mobility for traineeships between Programme Countries,Sociology and cultural studies,Female,Learner,No,No,No,25,Krakw,Akademia Ignatianum w Krakowie,Lisbon,Associa�?o Discover Lisbon,1,Traineeships,Poland,Master,Portugal,Poland
89,2016-1-ES01-KA103-022797,2018-2019,95,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,Male,Learner,No,No,No,19,Lleida,CENTRE INTEGRAL DE FP ILERNA S.L.,OMAGH TYRONE,SOUTH WEST COLLEGE,1,Studies,Spain,Tertiary Education,United Kingdom,Spain
90,2016-1-NL01-KA103-022777,2016-2017,116,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,20,Rotterdam,ERASMUS UNIVERSITEIT ROTTERDAM,Cergy,ASSOCIATION GROUPE ESSEC,2,Studies,Netherlands,Bachelor,France,Netherlands
91,2016-1-NL01-KA103-022698,2017-2018,180,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,22,The Hague,STICHTING HOGER BEROEPSONDERWIJN HAAGLANDEN,Vienna,UniCredit Bank Austria,1,Traineeships,Spain,Bachelor,Austria,Netherlands
92,2017-1-LV01-KA103-035188,2017-2018,150,Student mobility for studies between Programme Countries,Law,Male,Learner,No,No,No,20,RIGA,SIA BIZNESA AUGSTSKOLA TURIBA,Vlissingen,STICHTING HZ UNIVERSITY OF APPLIED SCIENCES,1,Studies,Latvia,Bachelor,Netherlands,Latvia
